Country Rank,Country / Territory,WB Code,IFS Code,Region,Country Rank,CPI 2013 Score,Surveys Used,Standard Error,CI_Lower,CI_Upper,Scores_MIN,Scores_MAX,,,,,,,,,,,,,
154,Congo Republic,COG,634,AF,154,22,6,3.8,16,28,12,40,,,,,,,,,,,,,
154,Democratic Republic of the Congo,COD,636,AF,154,22,5,4.2,15,29,12,37,,,,,,,,,,,,,
154,Tajikistan,TJK,923,EE,154,22,5,3.8,16,28,11,32,,,,,,,,,,,,,
157,Burundi,BDI,618,AF,157,21,5,2.6,17,25,12,27,,,,,,,,,,,,,
157,Myanmar,MMR,518,AP,157,21,6,3.9,15,27,11,39,,,,,,,,,,,,,
157,Zimbabwe,ZWE,698,AF,157,21,8,4.3,14,28,0,38,,,,,,,,,,,,,
160,Cambodia,KHM,522,AP,160,20,7,3,15,25,11,30,,,,,,,,,,,,,
160,Eritrea,ERI,643,AF,160,20,4,11,2,38,5,52,,,,,,,,,,,,,
160,Venezuela,VEN,299,AM,160,20,7,2.3,16,24,12,29,,,,,,,,,,,,,
163,Chad,TCD,628,AF,163,19,5,3.8,13,25,9,30,,,,,,,,,,,,,
163,Equatorial Guinea,GNQ,642,AF,163,19,3,2.2,15,23,15,22,,,,,,,,,,,,,
163,Guinea-Bissau,GNB,654,AF,163,19,4,2.4,15,23,12,22,,,,,,,,,,,,,
163,Haiti,HTI,263,AM,163,19,5,3.1,14,24,11,26,,,,,,,,,,,,,
167,Yemen,YEM,474,ME,167,18,6,2.6,14,22,11,28,,,,,,,,,,,,,
168,Syria,SYR,463,ME,168,17,4,3.8,11,23,6,22,,,,,,,,,,,,,
168,Turkmenistan,TKM,925,EE,168,17,3,2.9,12,22,11,21,,,,,,,,,,,,,
168,Uzbekistan,UZB,927,EE,168,17,6,2,14,20,11,22,,,,,,,,,,,,,
171,Iraq,IRQ,,ME,171,16,4,2.4,12,20,11,21,,,,,,,,,,,,,
172,Libya,LBY,672,ME,172,15,6,3.3,10,20,2,24,,,,,,,,,,,,,
173,South Sudan,SSD,,AF,173,14,3,1.6,11,17,12,17,,,,,,,,,,,,,
174,Sudan,SDN,732,ME,174,11,6,3.5,5,17,0,21,,,,,,,,,,,,,
175,Afghanistan,AFG,512,AP,175,8,3,3.3,3,13,1,12,,,,,,,,,,,,,
175,Korea (North),PRK,,AP,175,8,3,3.4,2,14,1,12,,,,,,,,,,,,,
175,Somalia,SOM,726,AF,175,8,4,1.9,5,11,5,12,,,,,,,,,,,,,
