Country Name,Country Code,ElecAcc_1960,ElecAcc_1961,ElecAcc_1962,ElecAcc_1963,ElecAcc_1964,ElecAcc_1965,ElecAcc_1966,ElecAcc_1967,ElecAcc_1968,ElecAcc_1969,ElecAcc_1970,ElecAcc_1971,ElecAcc_1972,ElecAcc_1973,ElecAcc_1974,ElecAcc_1975,ElecAcc_1976,ElecAcc_1977,ElecAcc_1978,ElecAcc_1979,ElecAcc_1980,ElecAcc_1981,ElecAcc_1982,ElecAcc_1983,ElecAcc_1984,ElecAcc_1985,ElecAcc_1986,ElecAcc_1987,ElecAcc_1988,ElecAcc_1989,ElecAcc_1990,ElecAcc_1991,ElecAcc_1992,ElecAcc_1993,ElecAcc_1994,ElecAcc_1995,ElecAcc_1996,ElecAcc_1997,ElecAcc_1998,ElecAcc_1999,ElecAcc_2000,ElecAcc_2001,ElecAcc_2002,ElecAcc_2003,ElecAcc_2004,ElecAcc_2005,ElecAcc_2006,ElecAcc_2007,ElecAcc_2008,ElecAcc_2009,ElecAcc_2010,ElecAcc_2011,ElecAcc_2012,ElecAcc_2013,ElecAcc_2014,ElecAcc_2015
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.257427,94.0789489746,94.560057,94.8113250732,95.1707458496,95.5220489502,95.617315,96.1894836426,97.241124,96.7930755615,97.938687,97.337600708,97.5970458984,98.782325,98.1131286621,98.3769683838,99.368108,98.9288101196,99.2168960571,99.593662,99.7386016846,99.588193,99.9754486084,99.6,100.0,
China,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.3948059082,89.9669876099,90.5387115479,91.1077346802,91.6713485718,92.2268447876,92.7715148926,93.3026580811,93.817565918,94.3146286011,94.7966537476,95.267539978,95.7311782837,96.1914672852,96.6523132324,97.1176071167,97.591255188,98.0838775635,98.5765914917,99.0616607666,99.7,99.7942657471,99.9468460083,99.9935455322,100.0,
Cote d'Ivoire,CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6594924927,37.7872810364,38.9146156311,40.0392494202,36.5,42.269569397,43.3698501587,44.4566001892,45.5271148682,48.2,47.6174240112,48.6439170837,51.4,50.6790618896,51.695514679,58.9,53.745677948,54.786239624,55.8373031616,56.8971138,57.9639282227,59.035987854,55.8,61.1888618469,61.9,
Cameroon,CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0637989044,29.0,32.4811058044,33.6868247986,34.887134552,36.0793266296,37.2606964111,38.4285354614,40.7,40.7139053345,41.0,46.2,44.0405464172,45.1375350952,47.1,47.3370742798,49.0,48.2,50.7012252808,51.8421287537,52.990032196,53.7,55.2998313904,56.4582328796,56.8,
"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.592188417912,1.30278789997,2.01068162918,2.71316385269,3.40752863884,4.09107017517,4.76108264923,5.41486024857,6.05079841614,6.7,7.28144693375,7.88395547867,8.48311805725,9.08283424377,6.0,10.2995195389,15.2,11.5576705933,12.2007455826,12.8508195877,13.5061435699,15.4,14.8255405426,13.5,
"Congo, Rep.",COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7301692963,18.8506164551,19.9706134796,21.0879039764,22.1997814178,23.3035430908,24.3964824677,25.4758911133,26.5390663147,27.5844020844,28.6146945953,29.6338443756,30.6457500458,31.6543083191,32.6634216309,33.8,34.6989021301,35.7321243286,36.775844574,37.1,38.8877868652,39.9525108337,41.6,42.0907020569,43.1609611511,
Colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.9,90.7104644775,91.0986480713,91.48412323,91.8641891479,91.2,92.5972595215,92.9448547363,93.2762145996,93.5897369385,95.2,94.1755447388,94.4556350708,94.732383728,95.0096817017,96.8,95.58152771,95.8829345703,96.806763,96.057229,96.788995,96.6936,97.032176,97.779418,97.790938,
Comoros,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4167842865,16.9504299164,19.4836235046,22.0141124725,24.539188385,27.0561466217,28.9,32.054889679,34.5312614441,36.9897956848,39.4332847595,41.8656349182,44.8,46.7124938965,49.134803772,51.5615653992,53.9966773987,56.4430999756,58.9000205994,61.365688324,63.8383560181,66.3162765503,69.3,71.2808609009,73.7643203735,
Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2606830597,30.9018173218,33.5425033569,36.180480957,38.8130455017,41.4374961853,44.0511207581,46.6512184143,49.235080719,51.8011016846,54.3520851135,56.8919219971,58.6,61.9537620544,64.4835586548,67.0,69.5604171753,72.1143264771,74.6787338257,77.2518920898,81.1,82.4174575806,85.0063705444,87.5970306396,90.1879730225,
