Country Name,Country Code,TechExp_1960,TechExp_1961,TechExp_1962,TechExp_1963,TechExp_1964,TechExp_1965,TechExp_1966,TechExp_1967,TechExp_1968,TechExp_1969,TechExp_1970,TechExp_1971,TechExp_1972,TechExp_1973,TechExp_1974,TechExp_1975,TechExp_1976,TechExp_1977,TechExp_1978,TechExp_1979,TechExp_1980,TechExp_1981,TechExp_1982,TechExp_1983,TechExp_1984,TechExp_1985,TechExp_1986,TechExp_1987,TechExp_1988,TechExp_1989,TechExp_1990,TechExp_1991,TechExp_1992,TechExp_1993,TechExp_1994,TechExp_1995,TechExp_1996,TechExp_1997,TechExp_1998,TechExp_1999,TechExp_2000,TechExp_2001,TechExp_2002,TechExp_2003,TechExp_2004,TechExp_2005,TechExp_2006,TechExp_2007,TechExp_2008,TechExp_2009,TechExp_2010,TechExp_2011,TechExp_2012,TechExp_2013,TechExp_2014,TechExp_2015,TechExp_2016
Malawi,MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0887387841939,0.1766268155,,,2.93897411861,1.55220548264,0.837937340324,0.820354489668,0.359078335303,0.793646013104,2.02618012098,2.87110685302,0.160051670147,0.363543204177,0.956038501414,3.0965840965,1.81412938605,1.37650993564,1.87772884788,2.81415998441,1.29091969433,3.1833137581,1.66195444731,5.96510129789,2.52430852861,2.1568489694,
Malaysia,MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5843415546,38.3759235958,38.211440153,38.2101787944,38.9298879562,41.1328796507,44.2514493487,46.1242620519,44.4127984215,49.0214136125,54.9227229302,58.9462274313,59.5692731216,58.1110538862,58.2212553093,58.9391469246,55.6576642292,54.6456106825,53.8397357952,52.2843101776,39.9206485805,46.5739372416,44.52124317,43.389568823,43.7165484504,43.5737586314,43.8740466528,42.8009454402,
North America,NAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7538518246,28.5406477664,29.1076246616,29.0868586249,27.883814246,27.421654784,27.060822982,27.5954662999,28.3792828983,29.5117035119,29.9713336418,30.0877583647,29.0913449252,27.6778003561,26.7174803331,25.8380081002,25.741354249,26.0557860408,23.8784539146,23.160615481,20.4565760848,18.7715203952,17.1413452966,16.9671712684,17.0673160894,17.5762753183,18.0730389903,12.9577375465
Namibia,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81950529548,0.841779562948,1.36294089366,2.62902367626,5.418383019,11.5124817884,6.49924253741,5.18693119175,0.917140614237,1.41742074048,1.16832513701,1.60537340258,5.2944635689,1.71709279624,2.68086362235,,
New Caledonia,NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71256506089,0.594358254964,0.98239755089,0.678971198247,0.752577706877,2.21883751915,0.507885619589,1.48014208033,0.561123055816,0.54586486922,6.96634137366,0.849328092498,15.380547624,10.6025445291,13.640371805,13.0548203619,5.02825609697,
Niger,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.36577660663,19.7515261479,8.82270603236,4.57422081562,15.5037628098,5.62981581467,3.6011250506,2.97333374665,3.33979100697,3.59364642608,11.1609682769,11.933049909,12.6501025691,3.8428817841,14.4728971052,6.56300466961,4.50744553624,7.66007183332,52.4454667626,57.1481530503,14.2426656384,
Nigeria,NGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67589873859,0.111631905693,0.0181000129539,13.3921481545,0.59068690784,0.366995351249,0.142339957088,1.73081108174,,,7.78744182624,0.99550469813,0.408516889943,2.5277071977,1.08927909563,1.19736668658,1.87773052798,2.73669627827,2.10433253044,,
Nicaragua,NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46434188237,3.60822399139,0.970845556337,0.441405234865,0.649163942466,4.1933573614,2.34656509152,4.88471642688,3.2256229273,5.16513959079,4.30826731731,6.56070689998,5.17307236626,7.15896710928,4.35167587633,0.873253086787,5.34931618093,4.81324544499,5.28749219467,0.240349295206,0.3675551223,0.38590870534,0.488474132372,
Netherlands,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5931889079,15.8720840099,16.4606630361,17.6185417913,19.3784550802,23.3879177326,22.4254431617,24.1447528298,26.776894527,27.3778641332,30.2455490611,33.2808837367,35.8065731843,32.7138564981,28.0129201625,31.3506297542,30.4673617566,30.8897206892,28.9900157829,23.3073355861,19.2487530582,20.9042724292,21.2941161535,19.8142026658,20.0451539945,20.406253591,19.9018385836,,
Norway,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.044180347,10.6430008226,11.4357916746,10.9166855383,12.4133118413,14.6970642139,14.5773588557,13.5354636652,14.0972808273,14.56197647,15.6787936368,15.6828285979,16.7636741272,18.1921844444,20.6367178498,16.8323824363,17.4359133612,16.094334188,17.2178691296,14.7297480927,14.8498836691,15.8027631106,16.1502888637,18.4618544328,18.8291939259,19.142614812,20.7379774263,20.5199173297,19.4627217857
Nepal,NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92173370289,,,,0.00283183198101,0.000259913165487,0.0110311683056,,,0.12219818898,,,,,,0.41337382026,0.567478464118,0.286024007235,0.130359898519,0.298067823079,0.173122492959,0.622566089302,
Nauru,NRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91169297665,4.42199839221,4.42928237903,4.76222694695,5.25105676983,5.39774212962,6.28966641148,7.29327690719,7.45610045717,9.16593081857,12.2806804674,15.1619904715,9.66482300983,9.35256504638,9.3805679701,9.55276803148,9.5723342637,10.1905781132,10.3236854275,9.0832769966,8.46885548791,8.93825276926,9.00303958927,9.30535025121,9.78771479358,10.2536249325,9.11055074796,9.61708408239,9.95470084576
OECD members,OED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2360369947,18.6297039711,18.3067048743,19.0732095852,18.8822729408,19.6212618427,19.7296916813,19.9813078341,20.161300138,21.2004078522,21.9173260961,22.7803839847,24.3689653986,23.271207539,21.934001906,20.730489954,20.4214112129,20.4662562323,20.6185103312,17.0020565756,16.3973259261,17.1759473026,16.9634841815,16.2630473932,16.6132657187,16.7591547173,16.7537000882,17.7307972663,
