Country Name,Country Code,BBsubs_1960,BBsubs_1961,BBsubs_1962,BBsubs_1963,BBsubs_1964,BBsubs_1965,BBsubs_1966,BBsubs_1967,BBsubs_1968,BBsubs_1969,BBsubs_1970,BBsubs_1971,BBsubs_1972,BBsubs_1973,BBsubs_1974,BBsubs_1975,BBsubs_1976,BBsubs_1977,BBsubs_1978,BBsubs_1979,BBsubs_1980,BBsubs_1981,BBsubs_1982,BBsubs_1983,BBsubs_1984,BBsubs_1985,BBsubs_1986,BBsubs_1987,BBsubs_1988,BBsubs_1989,BBsubs_1990,BBsubs_1991,BBsubs_1992,BBsubs_1993,BBsubs_1994,BBsubs_1995,BBsubs_1996,BBsubs_1997,BBsubs_1998,BBsubs_1999,BBsubs_2000,BBsubs_2001,BBsubs_2002,BBsubs_2003,BBsubs_2004,BBsubs_2005,BBsubs_2006,BBsubs_2007,BBsubs_2008,BBsubs_2009,BBsubs_2010,BBsubs_2011,BBsubs_2012,BBsubs_2013,BBsubs_2014,BBsubs_2015
Israel,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.715626983208,3.7131681284,9.97199147805,15.1506859396,18.6203231927,21.0245635258,22.0560606332,23.6955221092,23.6877430296,23.7454530557,24.9131203142,25.3404509868,25.901496209,27.2432990242,27.4385039108
Italy,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201803650839,0.681815404493,1.47822359262,3.88815784801,8.10835376168,11.6277387173,14.3833288554,17.0161218267,18.833376591,20.0672102108,21.6464208006,22.2605998065,22.6056565739,22.9757539878,23.5365830654,24.3696920987
Jamaica,JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124186835351,0.342633158667,0.339992656159,1.01287476366,1.67775914015,2.53105543413,3.42550935103,3.57954909076,4.11043866269,4.25626986834,4.29340149397,4.44379277132,5.05824946981,5.4148919712,8.13606628002
Jordan,JOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00845896306763,0.0647974066352,0.100250666799,0.204705838456,0.449496575669,0.895614872711,1.57037237157,2.46714627583,3.85025367612,4.54370666044,4.40655691723,4.28413437642,4.51458721914,4.68743254328,4.16404413142
Japan,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0255454645205,0.172137016347,0.679837104776,3.04428066982,7.44355939516,11.7900260139,15.4269139179,18.3503966341,20.7957327908,22.2422457161,23.6552096202,25.8048385434,26.7774003897,28.0367865316,28.394883339,29.036976048,29.7551071888,30.6567767787
Kazakhstan,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00676713213415,0.0134004793305,0.0198883596538,0.200299319422,1.75610034915,2.1665829281,3.66717752131,5.46192490017,7.41334419348,10.0625639128,11.9145570602,12.9343998312,13.7205645145
Kenya,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0150870243822,0.0482160129615,0.0469825629715,0.00846459276579,0.0457002424674,0.0167835132611,0.128828734233,0.125869244811,0.167165343691,0.223538938014,0.289007480157
Kyrgyz Republic,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000719511595529,0.00277475404999,0.0379932699913,0.0454547167301,0.0543527457779,0.0606704286877,0.366191969098,0.329615981712,0.432171658365,0.722505509937,0.997659389578,2.45513873877,3.03476524063,3.70599956654
Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000393411583422,0.00323943131667,0.00593183590473,0.0074870339546,0.0213942342096,0.0614666689168,0.11903431422,0.212100698342,0.248285216267,0.150624454757,0.200031672466,0.21570951735,0.429061796036,0.532650926427
Kiribati,KIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355926957598,0.437179863626,0.539608783632,0.722330015185,0.794623566561,0.865535127835,0.856423173804,0.793761038239,0.683921016893,0.481037501684,0.110842688646
St. Kitts and Nevis,KNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06532577662,4.19471884897,9.08696639888,13.2277824132,17.6625253397,,21.7256896889,25.1299994201,27.8881418093,23.7866002152,24.2609734249,24.5428207636,25.5854277318,29.5723779255
